head verdictExported function jwksFetches 362 captured 441 rows test/prod/grace/limiter 162 161 6 7
merged17r2 verdictExported function jwksFetches 362 captured 720 rows test/prod/grace/limiter 162 161 6 7
=== test
D16 Erasures                       POST  /api/gdpr/Erasures                           scope           | 200 h1 POST /api/gdpr/Erasures || 200 h1 POST /api/gdpr/Erasures
D17 x/../erasures                  POST  /api/gdpr/x/../erasures                      noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D17 x/../erasures                  POST  /api/gdpr/x/../erasures                      scope           | 200 h1 POST /api/gdpr/x/../erasures || 200 h1 POST /api/gdpr/x/../erasures
D18 //erasures                     POST  /api/gdpr//erasures                          noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D18 //erasures                     POST  /api/gdpr//erasures                          scope           | 200 h1 POST /api/gdpr/erasures || 200 h1 POST /api/gdpr/erasures
D19 erasures?x=1                   POST  /api/gdpr/erasures?x=1                       noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D19 erasures?x=1                   POST  /api/gdpr/erasures?x=1                       scope           | 200 h1 POST /api/gdpr/erasures?x=1 || 200 h1 POST /api/gdpr/erasures?x=1
D20 %2e/erasures                   POST  /api/gdpr/%2e/erasures                       noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D20 %2e/erasures                   POST  /api/gdpr/%2e/erasures                       scope           | 200 h1 POST /api/gdpr/%2e/erasures || 200 h1 POST /api/gdpr/%2e/erasures
D21 x/%2e%2e/erasures              POST  /api/gdpr/x/%2e%2e/erasures                  noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D21 x/%2e%2e/erasures              POST  /api/gdpr/x/%2e%2e/erasures                  scope           | 200 h1 POST /api/gdpr/x/%2e%2e/erasures || 200 h1 POST /api/gdpr/x/%2e%2e/erasures
D22 erasures%2fabc GET             GET   /api/gdpr/erasures%2fabc                     noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D22 erasures%2fabc GET             GET   /api/gdpr/erasures%2fabc                     scope           | 200 h1 GET /api/gdpr/erasures%2fabc || 200 h1 GET /api/gdpr/erasures%2fabc
D23 %2ferasures                    POST  /api/gdpr/%2ferasures                        noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D23 %2ferasures                    POST  /api/gdpr/%2ferasures                        scope           | 200 h1 POST /api/gdpr/%2ferasures || 200 h1 POST /api/gdpr/%2ferasures
D24 ;p/erasures                    POST  /api/gdpr/;p/erasures                        noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D24 ;p/erasures                    POST  /api/gdpr/;p/erasures                        scope           | 200 h1 POST /api/gdpr/;p/erasures || 200 h1 POST /api/gdpr/;p/erasures
D25 v1 %65rasures                  POST  /api/gdpr/%65rasures                         noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D25 v1 %65rasures                  POST  /api/gdpr/%65rasures                         scope           | 200 h1 POST /api/gdpr/%65rasures || 200 h1 POST /api/gdpr/%65rasures
D26 abs %65rasures                 POST  http://127.0.0.1/api/gdpr/%65rasures         noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
