head EXPORT ORIGINATE_FORWARD_TIMEOUT_MS = 15000
base   O-201-body-never-ends                b=800                  -> 200             2ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [] | unh [] | census {}
base   O-drip-102-then-201-at-2500          b=800                  -> 200          2505ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [] | unh [] | census {}
merged EXPORT ORIGINATE_FORWARD_TIMEOUT_MS = 15000
merged O-201                                b=800                  -> 200            12ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [] | unh [] | census {}
merged O-200                                b=800                  -> 200             5ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [] | unh [] | census {}
merged O-204                                b=800                  -> 200             8ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [] | unh [] | census {}
merged O-302                                b=800                  -> 502             2ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [] | unh [] | census {}
merged O-401                                b=800                  -> 502             7ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [] | unh [] | census {}
merged O-500                                b=800                  -> 502             7ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [] | unh [] | census {}
merged O-closed-port                        b=800                  -> 502             8ms hitsA 0 delA 0 | hitsF 0 delF 0 created 0 kept True inst approved | 2nd - | err [(6, 'connect ECONNREFUSED 127.0.0.1:1')] | unh [] | census {}
merged O-destroy-before-headers             b=800                  -> 502             6ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [(4, 'socket hang up')] | unh [] | census {}
merged O-never-answers                      b=800                  -> 502           816ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [(814, 'originate did not answer within 800 ms')] | unh [] | census {}
merged O-late-201-bound+700                 b=800                  -> 502           805ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [(804, 'originate did not answer within 800 ms')] | unh [] | census {}
merged O-late-201-persist-then-lost+retry   b=800                  -> 502           805ms hitsA 1 delA 0 | hitsF 1 delF 0 created 1 kept True inst approved | 2nd (400, '{"success":false,"error":{"code":"BAD_REQUEST","me') | err [(804, 'originate did not answer within 800 ms')] | unh [] | census {}
merged O-201-mid-body-reset                 b=800                  -> 200             2ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [] | unh [] | census {}
merged O-201-body-never-ends                b=800                  -> 200             4ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [(805, 'originate did not answer within 800 ms')] | unh [] | census {}
merged O-drip-102-then-201-at-2500          b=800                  -> 200          2504ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [] | unh [] | census {}
merged BOUND-0                              b=0                    -> NO RESPONSE  3001ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [(3303, 'socket hang up')] | unh [] | census {}
merged BOUND-neg1                           b=-1                   -> NO RESPONSE  2003ms hitsA 0 delA 0 | hitsF 0 delF 0 created 0 kept True inst approved | 2nd - | err [] | unh ['ERR_OUT_OF_RANGE'] | census {'TCPSocketWrap': 1}
merged BOUND-NaN                            b=NaN                  -> NO RESPONSE  2003ms hitsA 0 delA 0 | hitsF 0 delF 0 created 0 kept True inst approved | 2nd - | err [] | unh ['ERR_OUT_OF_RANGE'] | census {'TCPSocketWrap': 2}
merged BOUND-string                         b=800                  -> NO RESPONSE  2002ms hitsA 0 delA 0 | hitsF 0 delF 0 created 0 kept True inst approved | 2nd - | err [] | unh ['ERR_INVALID_ARG_TYPE'] | census {'TCPSocketWrap': 3}
merged BOUND-null                           b=null                 -> NO RESPONSE  2002ms hitsA 0 delA 0 | hitsF 0 delF 0 created 0 kept True inst approved | 2nd - | err [] | unh ['ERR_INVALID_ARG_TYPE'] | census {'TCPSocketWrap': 4}
merged BOUND-neg1-closed-port               b=-1                   -> NO RESPONSE  2002ms hitsA 0 delA 0 | hitsF 0 delF 0 created 0 kept True inst approved | 2nd - | err [] | unh ['ERR_OUT_OF_RANGE'] | census {'TCPSocketWrap': 4}
