drafter_extra_table 2026-09-17 17:05:27 AEST
== test
  X18 erasures/.. POST               scope            | verdict r1 not-door     r2 undetermined | r1 405 METHOD_NOT_ALLOWED 0                         | r2 405 METHOD_NOT_ALLOWED 0                         
  X19 erasures/..?x=/erasures        noscope          | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/gdpr/erasures/..?x=/erasures    | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X19 erasures/..?x=/erasures        scope            | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/gdpr/erasures/..?x=/erasures    | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X20 erasures/..#frag               noscope          | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/gdpr/erasures/..                | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X20 erasures/..#frag               scope            | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/gdpr/erasures/..                | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X21 consent/../erasures/..         noscope          | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/gdpr/consent/../erasures/..     | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X21 consent/../erasures/..         scope            | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/gdpr/consent/../erasures/..     | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X22 consent/..                     noscope          | verdict r1 not-door     r2 not-door     | r1 200 - 1 GET /api/gdpr/consent/..                 | r2 200 - 1 GET /api/gdpr/consent/..                 
  X22 consent/..                     scope            | verdict r1 not-door     r2 not-door     | r1 200 - 1 GET /api/gdpr/consent/..                 | r2 200 - 1 GET /api/gdpr/consent/..                 
  X23 dsr/./pending                  noscope          | verdict r1 not-door     r2 not-door     | r1 200 - 1 GET /api/gdpr/dsr/./pending              | r2 200 - 1 GET /api/gdpr/dsr/./pending              
  X23 dsr/./pending                  scope            | verdict r1 not-door     r2 not-door     | r1 200 - 1 GET /api/gdpr/dsr/./pending              | r2 200 - 1 GET /api/gdpr/dsr/./pending              
  V1 abs POST                        noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  V1 abs POST                        scope            | verdict r1 door         r2 door         | r1 200 - 1 POST /api/v1/gdpr/erasures               | r2 200 - 1 POST /api/v1/gdpr/erasures               
  V1 %65                             noscope          | verdict r1              r2              | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  V1 %65                             scope            | verdict r1              r2              | r1 200 - 1 POST /api/v1/gdpr/%65rasures             | r2 200 - 1 POST /api/v1/gdpr/%65rasures             
  V1 W01                             noscope          | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/..             | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  V1 W01                             scope            | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/..             | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  V1 origin                          noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  V1 origin                          scope            | verdict r1 door         r2 door         | r1 200 - 1 POST /api/v1/gdpr/erasures               | r2 200 - 1 POST /api/v1/gdpr/erasures               
  non-door originate route rows NOT 200+1 hit at r2: []
== prod
  X01 erasures/%2e                   noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
